id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
1,"#73, Shaanthi Nivaasa",157,"Drama, Family, Musical",2007,2007-06-15,Sudeep,Kannada,0,"Sudeep,Anu Prabhakar,Deepa Bhaskar,Master Hirannayya,Srinivasa Murthy,Ramesh Bhat,Komal Kumar,Deepu,Arun Sagar,Vaishali Kasaravalli,Chitra Shenoy,Rohit,Shivarajkumar,Vishnuvardhan",http://www.imdb.com/title/tt1442481/?ref_=adv_li_tt
2,#Pellichoopulu,125,"Comedy, Drama, Romance",2016,2016-07-29,Tharun Bhascker Dhaassyam,Telugu,7500000,"Abhay Bethiganti,Vijay Deverakonda,Anish Kuruvilla,Padmaja Lanka,Gururaj Manepalli,Priyadarshi Pulikonda,Kedar Shankar,Sujatha,Ritu Varma",http://www.imdb.com/title/tt5824826/?ref_=adv_li_tt
3,'42,156,,1951,,Hemen Gupta,Bengali,0,"Harimohan Bose,Manju Dey,Pradeep Kumar,Sombhu Mitra,Bikash Roy,Kali Sarkar,Suruchi Sengupta",http://www.imdb.com/title/tt0215457/?ref_=adv_li_tt
4,'D',107,"Crime, Drama, Thriller",2005,2005-06-03,Vishram Sawant,Hindi,0,"Randeep Hooda,Chunky Pandey,Rukhsar,Isha Koppikar,Yashpal Sharma,Sushant Singh,Goga Kapoor,Ishrat Ali,Raj Arjun,Nagesh Bhonsle,Vrajesh Hirjee,Zaheed Hurrain,Zakir Hussain,Narayan Jadhav,Vinod Jaywant",http://www.imdb.com/title/tt0454435/?ref_=adv_li_tt
5,'Ferry',0,"Drama, Family",1954,,Hemen Gupta,Hindi,0,"Dev Anand,Babu,Rani Bala,Geeta Bali,Baby Bula,Chand Burke,Parveen Irani,Jankidas,Nand Kishore,Baby Nalini,Premlata,Moppet Rajoo,Narbada Shankar,Ram Singh",http://www.imdb.com/title/tt0215890/?ref_=adv_li_tt
6,'Kaash',140,"Drama, Family",1987,1987-09-04,Mahesh Bhatt,Hindi,0,"Jackie Shroff,Dimple Kapadia,Master Makrand,Anupam Kher,Mehmood,Mukri,Satish Kaushik,Akash Khurana,Sarita Sethi,Avtar Gill,Raju Kher,Dalip Tahil,Subbiraj,Kamal Chopra,R.S. Chopra",http://www.imdb.com/title/tt0156691/?ref_=adv_li_tt
7,'Sambandh',0,"Drama, Family",1969,1969-03-07,Ajoy Biswas,Hindi,0,"Deb Mukherjee,Anjana Mumtaz,Sulochana Latkar,Anita Dutt,Achala Sachdev,Vijaya Choudhury,Abhi Bhattacharya,Nana Palsikar,Ulhas,Leela Mishra,Rani,Jankidas,Manisha,Dilloo,Manik Dutt",http://www.imdb.com/title/tt0362111/?ref_=adv_li_tt
8,... Re: yakshaprashne,0,Comedy,2016,2016-03-04,Sunil Kumar Desai,Kannada,0,"Ramesh Aravind,Anant Nag,Harshika Poonacha,Suman Nagarkar,Loknath,Shivaram,Master Hirannayya,G.K. Govinda Rao,Sharath Lohitashwa,Ramesh Bhat,Biradar,Srinivasa Prabhu,Tennis Krishna,Kishore Kumar G.,Maithreyi",http://www.imdb.com/title/tt3116888/?ref_=adv_li_tt
9,...Aur Pyaar Ho Gaya,147,"Family, Musical, Romance",1997,1997-08-15,Rahul Rawail,Hindi,0,"Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,Anupam Kher,Shammi,Beena Banerjee,Priya Tendulkar,Avtar Gill,Aashif Sheikh,Jami Jaffery,Ravi Malhotra,Darshan Sandhar,Ashok Lath,Preeti Chawla,Dimple Inamdar",http://www.imdb.com/title/tt0118525/?ref_=adv_li_tt
10,...Yahaan,142,"Drama, Romance, War",2005,2005-07-29,Shoojit Sircar,Hindi,0,"Jimmy Shergill,Minissha Lamba,Yashpal Sharma,Mukesh Tiwari,Dolly Ahluwalia,Saurabh Dubey,Juhi,Harish Khanna,Maariayah Khatri,Sameer Kohli,Gyan Prakash,Gajraj Rao,Rajesh Kumar Sharma",http://www.imdb.com/title/tt0473567/?ref_=adv_li_tt
