1,0-41*,0,"Comedy, Drama",2016,2016-08-15,Senna Hegde,Malayalam,0,"Ebi Ganesh,Rishidas Ganesh,Abhilash Gopal,Roopesh Kadathanadan,Vipin Kavvai,Nithin Kichu,Yadhulal Krishnan,Abhijith Lakshmanan,Vishnu Lakshmanan,Sanal Manu,Shobith,Abhilash Thoyammal,Akhilesh Thoyammal,Ambu Thoyammal,Priyadath Thoyammal",http://www.imdb.com/title/tt4570696/?ref_=adv_li_tt
2,1 by Two,0,Thriller,2014,2014-04-19,Arun Kumar,Malayalam,0,"Fahadh Faasil,Murali Gopy,Honey Rose,Shyamaprasad,Ashvin Matthew,Azhagam Perumal,Shruthi Ramakrishna,Abhinaya,Fathima Babu,Kalamandalam Ramdas",http://www.imdb.com/title/tt3686130/?ref_=adv_li_tt
3,100 Days of Love,153,"Comedy, Romance",2015,2015-03-20,Jenuse Mohammed,Malayalam,40000000,"Dulquer Salmaan,Nithya Menon,Sekhar Menon,Aju Varghese,Vineeth",http://www.imdb.com/title/tt3995348/?ref_=adv_li_tt
4,100 Degree Celsius,120,Thriller,2014,2014-10-10,Rakesh Gopan,Malayalam,0,"Arun,Bhama,Shweta Menon,Meghana Raj,Mithun Ramesh",http://www.imdb.com/title/tt3885676/?ref_=adv_li_tt
5,1000: Oru Note Paranja Katha,0,Comedy,2015,2015-02-13,A.R.C. Nair,Malayalam,0,"Ganesh Kumar,Mukesh,Maqbool Salmaan,Bharath Srinivasan,Shammi Thilakan",http://www.imdb.com/title/tt5471518/?ref_=adv_li_tt
6,101 Chodhyangal?,107,"Drama, Family",2013,2013-07-26,Sidhartha Siva,Malayalam,0,"V.P. Gangadharan,Indrajith,Vinod Kovoor,Lena,Manikandan,Minon,Murugan,Musthafa,Rachana Narayanankutty,Kalabhavan Rahman,Nishanth Sagar,Sudheesh,Biju Varkey",http://www.imdb.com/title/tt3668280/?ref_=adv_li_tt
7,101 Weddings,145,"Comedy, Drama, Family",2012,2012-11-29,Shafi,Malayalam,0,"Kunchacko Boban,Jayasurya,Biju Menon,Samvrutha Sunil,Bhama,Vijayaraghavan,Salim Kumar,Vanitha Krishnachandran,Urmila Unni,Suraaj Venjarammoodu",http://www.imdb.com/title/tt2545176/?ref_=adv_li_tt
8,10:30 A.M. Local Call,169,"Crime, Thriller",2013,2013-02-22,Manu Sudhakaran,Malayalam,0,"Jennifer Antony,Anoop Chandran,Kailash,Krishna,Lal,Manraj,Mrudula Murali,Nishan,Shritha Sivadas",http://www.imdb.com/title/tt2928360/?ref_=adv_li_tt
9,168 Hours,109,Horror,2016,2016-08-26,K.G. Vijayakumar,Malayalam,0,"Manu Mohit,Anju Priya,Seema G. Nair",http://www.imdb.com/title/tt6005838/?ref_=adv_li_tt
10,1983,138,"Family, Sport",2014,2014-01-31,Abrid Shine,Malayalam,20000000,"Nivin Pauly,Anoop Menon,Joy Mathew,Nikki Galrani,Srinda Ashab,Saiju Kurup,Sanju Sivram,Dinesh Nair,Kalabhavan Prachod,Neeraj Madhav,Shibu Maradu,Binoy Antony,Arun,Shereej K. Basheer,Jacob Gregory",http://www.imdb.com/title/tt3506970/?ref_=adv_li_tt
11,1993 Bombay March 12,131,"Action, Family, Mystery",2011,2011-06-30,Babu Janardanan,Malayalam,0,"Mammootty,Roma,Jayakumar,Sudheer Karamana,Lal,Unni Mukundan,Lijo Jose Pellissery,Maniyanpilla Raju,Sadiq,Shari,V.K. Sriraman",http://www.imdb.com/title/tt1886449/?ref_=adv_li_tt
12,2 Harihar Nagar,0,"Comedy, Thriller",2009,2009-04-01,Lal,Malayalam,0,"Mukesh,Siddique,Jagadish,Asokan,Sudipto Balav,Appa Haja,Janardanan,Salim Kumar,Kunchan,Raai Laxmi,Lena,Rekha Mallick,Narayanankutty,Chali Pala,Kaviyoor Ponnamma",http://www.imdb.com/title/tt1332676/?ref_=adv_li_tt
13,2 Penkuttikal,73,Drama,2016,2016-01-22,Jeo Baby,Malayalam,0,"Anju Kurian,Amala Paul,Tovino Thomas",http://www.imdb.com/title/tt4594194/?ref_=adv_li_tt
