id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
1,10 Endrathukulla,144,Action,2015,2015-10-21,Vijay Milton,Tamil,400000000,"Vikram,Samantha Ruth Prabhu,Pasupathy,Rahul Dev,Charmy Kaur,Ramdoss,Seetha,Manobala,Sampoornesh Babu,Abhimanyu Singh,Ajay,Imman Annachi",http://www.imdb.com/title/tt5128266/?ref_=adv_li_tt
2,1000 Thalaivangi Apoorva Chintamani,0,,1947,,T.R. Sundaram,Tamil,0,"M.R. Swaminathan,Varalakshmi S.",http://www.imdb.com/title/tt0389712/?ref_=adv_li_tt
3,1021,90,"Drama, Family",2014,,,Tamil,0,"James Kumar,Kobhu A,Hemalini Govindan",http://www.imdb.com/title/tt3894508/?ref_=adv_li_tt
4,12 B,150,"Comedy, Drama, Romance",2001,,Jeeva,Tamil,0,"Shaam,Jyothika,Mayilsamy,Moon Moon Sen,Sunil Shetty,Simran,L. Srinath,Vivek",http://www.imdb.com/title/tt0375514/?ref_=adv_li_tt
5,13,0,"Comedy, Horror",2014,2014-09-13,Suresh,Tamil,30000000,Manoj Bharatiraaja,http://www.imdb.com/title/tt3848510/?ref_=adv_li_tt
6,144,0,Comedy,2015,2015-11-27,G. Manikandan,Tamil,0,"Uday Mahesh,Oviya,Shruthi Ramakrishna,Ramdoss,V. Madhusudhan Rao,Jawahar Sakthi,Ashok Selvan,Shiva",http://www.imdb.com/title/tt5273834/?ref_=adv_li_tt
7,18 Vayasu,0,Thriller,2012,2012-08-24,Panneerselvam,Tamil,40000000,"Gayathrie,Jhonny,Rohini,S. Sathyendra",http://www.imdb.com/title/tt2877914/?ref_=adv_li_tt
8,180,0,"Drama, Romance",2011,2011-06-24,Jayendra,Tamil,$4100000,"Siddharth,Nithya Menon,Priya Anand,Tanikella Bharani,Geetha,Sricharan,Lakshmi Ramakrishnan,M.S. Narayana,Mouli,Misha Ghoshal,Xango Henry,Thomas Martin,John Douglas Ayers,Manager Cheena,Frank Cosgriff",http://www.imdb.com/title/tt1855110/?ref_=adv_li_tt
9,1999,111,"Action, Crime, Drama",2009,2009-10-14,Lenin M. Sivam,Tamil,150000,"Lucsy Ag,Madona T. Alphonse,Ketheeswaran Ampalavanar,K.S. Balachandran,Satheeskumar Ehamparam,Deva Gasperson,Vince Jerad,Balachandran K.S.,Kaandee Kana,Thavakumar Ketharanathan,Suthan Mahalingam,Sugunathas Mahendrarajah,Ajith Nagarajah,Mannoge Rajanan,Sutha Shan",http://www.imdb.com/title/tt1458389/?ref_=adv_li_tt
10,24,164,"Action, Romance, Sci-Fi",2016,2016-05-06,Vikram K. Kumar,Tamil,$11000000,"Suriya,Samantha Ruth Prabhu,Nithya Menon,Saranya Ponvannan,Ajay,Girish Karnad,Sathyan,Mohan Ram,Charlie,Appukutty,Sudha,Caroline Koziol,Advaith Ramkumar",http://www.imdb.com/title/tt4981966/?ref_=adv_li_tt
11,3,145,"Drama, Mystery, Romance",2012,2012-03-30,Aishwarya Dhanush,Tamil,220000000,"Dhanush,Shruti Haasan,Prabhu,Bhanupriya,Rohini,Siva Karthikeyan,Sunder Ramu,Badava Gopi,Baby Gabriella,Sunita Gogoi",http://www.imdb.com/title/tt2123129/?ref_=adv_li_tt
12,36 Vayadhinile,115,"Drama, Family",2015,2015-05-15,Roshan Andrews,Tamil,0,"Jyothika,Rahman,Abhirami,Amritha Anil,Nassar,Delhi Ganesh,Khalid Hussain,Ilavarasu,Prem,Siddharth Basu,M.S. Bhaskar,Devadarshini Chetan,V. Jayaprakash,Mohan Ram,Muthukumar",http://www.imdb.com/title/tt4684258/?ref_=adv_li_tt
13,417 Miles,75,Drama,2016,,Mainak Dhar,Tamil,0,"Roger Narayan,Sarah Rosenberg,Marilia Colturato,Karthik Srinivasan,Kyara Ralella Jacob",http://www.imdb.com/title/tt5345354/?ref_=adv_li_tt
14,47 Natkal,0,Drama,1981,1981-09-03,K. Balachander,Tamil,0,"Chiranjeevi,Jaya Prada,Anne-Patricia,Ramaprabha,Sarath Babu,Saritha",http://www.imdb.com/title/tt0154101/?ref_=adv_li_tt
15,49-o,128,"Comedy, Drama",2015,2015-09-17,P. Arokiyadoss,Tamil,0,"Goundamani,Rajendran,Chaams,Bala Singh,Guru Somasundaram,Thirumurugan,Jayabalan,Alwa Vasu",http://www.imdb.com/title/tt3695514/?ref_=adv_li_tt
