id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
1,#Pellichoopulu,125,"Comedy, Drama, Romance",2016,2016-07-29,Tharun Bhascker Dhaassyam,Telugu,7500000,"Abhay Bethiganti,Vijay Deverakonda,Anish Kuruvilla,Padmaja Lanka,Gururaj Manepalli,Priyadarshi Pulikonda,Kedar Shankar,Sujatha,Ritu Varma",http://www.imdb.com/title/tt5824826/?ref_=adv_li_tt
2,1 - Nenokkadine,170,"Action, Musical, Mystery",2014,2014-01-10,Sukumar,Telugu,$10990000,"Mahesh Babu,Kriti Sanon,Nassar,Pradeep Singh Rawat,Anu Hassan,Kelly Dorji,Sayaji Shinde,Krishna Murali Posani,Srinivasa Reddy,Ravi Verma,Anand,Supreeth Reddy,Sophiya Chaudhary,Gautham Ghattamaneni,Hayley Joanne Bacon",http://www.imdb.com/title/tt2375559/?ref_=adv_li_tt
3,100 Kotlu,0,Comedy,2008,2008,Ramana Martial,Telugu,20000000,"Baladitya,Saira Banu,Brahmanandam,Ashok Kumar K.",http://www.imdb.com/title/tt1575481/?ref_=adv_li_tt
4,100% Love,141,"Comedy, Drama, Romance",2011,2011-05-06,Sukumar,Telugu,105000000,"Naga Chaitanya Akkineni,Tamannaah Bhatia,Tara Alisha,K.R. Vijaya,Vijayakumar,Naresh,Dharmavarapu Subramanyam,Chitram Seenu,M.S. Narayana,Anand,Satyam Rajesh,I.S. Giridhar,Maryam Zakaria,Meghna Naidu",http://www.imdb.com/title/tt1869226/?ref_=adv_li_tt
5,10th Class,0,Romance,2006,2006,Chandu,Telugu,0,"Bharath,'Kaadhal' Saranya,Sunaina,Ashok Kumar K.",http://www.imdb.com/title/tt1603778/?ref_=adv_li_tt
6,123,0,Comedy,2002,2002-05-01,K. Subhash,Telugu,0,"Prabhudheva,Raju Sundaram,Nagendra Prasad,Jyothika,Ganesh,Uttej,Suthi Velu",http://www.imdb.com/title/tt3415566/?ref_=adv_li_tt
7,123 from Amalapuram,0,Romance,2005,2005-08-19,Varma,Telugu,0,"Ravi Prakash,Raja Sridhar,Anil,Nithya Das,Annapoorna,Krishna Bhagavan,Hema,Lakshman Rao Kondavalasa,Raghava Malladi,Jogi Naidu,Narasimha Raju,Dharmavarapu Subramanyam",http://www.imdb.com/title/tt3450070/?ref_=adv_li_tt
8,143,0,"Action, Romance, Thriller",2004,2004-08-27,Puri Jagannadh,Telugu,0,"Sairam Shankar,Shamiksha,Ali,Brahmaji,Brahmanandam,Ganesh,Hema,Mumait Khan,Venu Madhav,Nagendra Babu,M.S. Narayana,Pooja,Satya Prakash,Rajitha,Gowtam Raju",http://www.imdb.com/title/tt0940641/?ref_=adv_li_tt
9,143 Hyderabad,0,"Horror, Musical, Romance",2013,2013-05-24,K. Anand Chakravarthy,Telugu,30000000,"Dhansika,Jagan,Azhagam Perumal",http://www.imdb.com/title/tt4194328/?ref_=adv_li_tt
10,16 Days,0,,2009,2009-02-20,,Telugu,0,"Charmy Kaur,Aravind,Ram Jagan,Srinivasa Rao Kota,Aachi Manorama,Jayaprakash Reddy,Dharmavarapu Subramanyam",http://www.imdb.com/title/tt1601788/?ref_=adv_li_tt
11,180,0,"Drama, Romance",2011,2011-06-24,Jayendra,Tamil,$4100000,"Siddharth,Nithya Menon,Priya Anand,Tanikella Bharani,Geetha,Sricharan,Lakshmi Ramakrishnan,M.S. Narayana,Mouli,Misha Ghoshal,Xango Henry,Thomas Martin,John Douglas Ayers,Manager Cheena,Frank Cosgriff",http://www.imdb.com/title/tt1855110/?ref_=adv_li_tt
12,19 Revolutions,94,Drama,2004,2004-11-06,Sridhar Reddy,Hindi,$98000,"Tarun Arora,Gulshan Grover,Vinay Pandey,Shreya Reddy,Tania Sonu,Ravi Tejasvi,Vishwaa",http://www.imdb.com/title/tt0407485/?ref_=adv_li_tt
13,1990 Kaliyuga Vishwamitra,0,,1989,,Pradeep Shakti,Telugu,0,,http://www.imdb.com/title/tt0389717/?ref_=adv_li_tt
14,2 Much,0,Comedy,2002,2002-11-22,Veeru K.,Telugu,0,"Bala Kumar,Raasi,Chitra Mehta,Ali,Brahmanandam,Chalapathi Rao,Venu Madhav,M.S. Narayana,Rami Reddy,Sudhakar,Surya",http://www.imdb.com/title/tt3417586/?ref_=adv_li_tt
15,21,98,Horror,2016,2016-07-29,Jaishankar Chigurula,Telugu,4000000,"Viswa Kamal,Naveen Maryada,Vindhya Yadav",http://www.imdb.com/title/tt5097012/?ref_=adv_li_tt
16,24,164,"Action, Romance, Sci-Fi",2016,2016-05-06,Vikram K. Kumar,Tamil,$11000000,"Suriya,Samantha Ruth Prabhu,Nithya Menon,Saranya Ponvannan,Ajay,Girish Karnad,Sathyan,Mohan Ram,Charlie,Appukutty,Sudha,Caroline Koziol,Advaith Ramkumar",http://www.imdb.com/title/tt4981966/?ref_=adv_li_tt
17,3,145,"Drama, Mystery, Romance",2012,2012-03-30,Aishwarya Dhanush,Tamil,220000000,"Dhanush,Shruti Haasan,Prabhu,Bhanupriya,Rohini,Siva Karthikeyan,Sunder Ramu,Badava Gopi,Baby Gabriella,Sunita Gogoi",http://www.imdb.com/title/tt2123129/?ref_=adv_li_tt
18,365 Days,110,Drama,2015,2015-05-22,Ram Gopal Varma,Telugu,0,"Anand,Anaika Soti",http://www.imdb.com/title/tt4641602/?ref_=adv_li_tt
19,420,0,"Comedy, Thriller",1992,,Satyanarayana E.V.V.,Telugu,0,"Nagendra Babu,Subhalekha Sudhakar,Srinivasa Rao Kota,Mallikharjunarao,Brahmanandam,Giribabu,Jayalalitha,Prasad Babu,Rami Reddy,Sudhakar",http://www.imdb.com/title/tt0250180/?ref_=adv_li_tt
20,47 Natkal,0,Drama,1981,1981-09-03,K. Balachander,Tamil,0,"Chiranjeevi,Jaya Prada,Anne-Patricia,Ramaprabha,Sarath Babu,Saritha",http://www.imdb.com/title/tt0154101/?ref_=adv_li_tt
21,6 Teens,0,Romance,2001,2001,G. Nageswara Reddy,Telugu,0,"Rohit,Ruthika,Rakhi Sawant",http://www.imdb.com/title/tt1603784/?ref_=adv_li_tt
